customer_id,month,sessions,support_tickets,active_flag
C00001,2026-03-01,9,0,1
C00001,2026-04-01,0,1,0
C00001,2026-05-01,10,1,1
C00001,2026-06-01,12,0,1
C00002,2025-03-01,8,0,1
C00002,2025-04-01,2,1,0
C00002,2025-05-01,1,0,0
C00002,2025-06-01,8,0,1
C00002,2025-07-01,7,0,1
C00002,2025-08-01,15,0,1
C00002,2025-09-01,4,0,1
C00002,2025-10-01,1,1,0
C00002,2025-11-01,6,0,1
C00002,2025-12-01,4,0,1
C00002,2026-01-01,2,0,0
C00002,2026-02-01,8,0,1
C00002,2026-03-01,2,0,0
C00002,2026-04-01,6,0,1
C00002,2026-05-01,2,1,0
C00002,2026-06-01,7,0,1
C00003,2026-04-01,1,0,0
C00003,2026-05-01,4,1,1
C00003,2026-06-01,5,0,1
C00004,2026-05-01,6,0,1
C00004,2026-06-01,6,0,1
C00005,2025-11-01,4,0,1
C00005,2025-12-01,10,1,1
C00005,2026-01-01,4,1,1
C00005,2026-02-01,9,1,1
C00005,2026-03-01,9,1,1
C00005,2026-04-01,0,1,0
C00005,2026-05-01,8,0,1
C00005,2026-06-01,8,1,1
C00006,2025-05-01,6,0,1
C00006,2025-06-01,0,0,0
C00006,2025-07-01,4,2,0
C00006,2025-08-01,8,0,1
C00006,2025-09-01,10,1,1
C00006,2025-10-01,6,0,1
C00006,2025-11-01,7,1,1
C00006,2025-12-01,7,0,1
C00006,2026-01-01,0,0,0
C00006,2026-02-01,1,0,0
C00006,2026-03-01,10,0,1
C00006,2026-04-01,0,0,0
C00006,2026-05-01,2,0,0
C00006,2026-06-01,4,0,1
C00007,2026-02-01,3,0,1
C00007,2026-03-01,1,1,0
C00007,2026-04-01,0,0,0
C00007,2026-05-01,5,0,1
C00007,2026-06-01,0,0,0
C00008,2026-02-01,1,1,0
C00008,2026-03-01,3,0,0
C00008,2026-04-01,7,0,1
C00008,2026-05-01,3,1,0
C00008,2026-06-01,7,1,1
C00009,2025-12-01,8,0,1
C00009,2026-01-01,6,0,1
C00009,2026-02-01,1,0,0
C00009,2026-03-01,0,0,0
C00009,2026-04-01,2,0,0
C00009,2026-05-01,3,0,1
C00009,2026-06-01,8,0,1
C00010,2026-01-01,7,0,1
C00010,2026-02-01,0,0,0
