customer_id,segment,region,acquisition_channel,plan,signup_date,status,churn_date,churn_reason
C00001,Consumer,West,Paid Search,Basic,2026-02-07,Churned,2026-04-22,Poor Experience
C00002,Enterprise,South,Organic,Pro,2025-02-26,Active,,
C00003,SMB,South,Paid Search,Basic,2026-03-04,Active,,
C00004,SMB,North,Paid Search,Basic,2026-04-27,Active,,
C00005,Consumer,North,Referral,Basic,2025-10-18,Active,,
C00006,Consumer,West,Referral,Basic,2025-04-24,Active,,
C00007,Consumer,West,Paid Search,Premium,2026-01-16,Active,,
C00008,Enterprise,North,Organic,Basic,2026-01-20,Active,,
C00009,SMB,South,Partner,Premium,2025-11-04,Churned,2026-04-30,Price
C00010,SMB,East,Paid Search,Premium,2025-12-07,Churned,2026-04-26,Low Usage
C00011,Consumer,North,Referral,Pro,2026-04-22,Churned,2026-03-12,Poor Experience
C00012,Enterprise,North,Organic,Basic,2025-07-17,Active,,
C00013,SMB,South,Paid Search,Basic,2026-02-25,Active,,
C00014,Consumer,West,Organic,Pro,2025-11-17,Churned,2026-02-27,Poor Experience
C00015,Consumer,West,Referral,Basic,2025-06-28,Active,,
C00016,Consumer,South,Partner,Basic,2026-01-20,Active,,
C00017,Consumer,South,Paid Search,Pro,2025-08-07,Active,,
C00018,Consumer,West,Organic,Premium,2025-10-04,Churned,2026-04-07,Low Usage
C00019,Consumer,West,Organic,Pro,2026-03-13,Active,,
C00020,Consumer,South,Paid Search,Basic,2025-01-16,Churned,2026-02-24,Low Usage
C00021,SMB,East,Organic,Pro,2026-01-14,Churned,2026-06-29,Price
C00022,Consumer,South,Organic,Basic,2025-03-02,Active,,
C00023,Consumer,North,Social,Basic,2025-02-23,Active,,
C00024,Consumer,East,Paid Search,Premium,2025-06-17,Active,,
C00025,Consumer,North,Paid Search,Basic,2025-01-26,Active,,
C00026,SMB,West,Partner,Basic,2025-12-02,Active,,
C00027,Consumer,North,Organic,Basic,2026-04-21,Churned,2026-05-30,Competitor
C00028,Consumer,South,Partner,Premium,2025-03-06,Active,,
C00029,SMB,East,Paid Search,Pro,2025-04-10,Churned,2026-02-23,Price
C00030,Consumer,North,Partner,Pro,2025-03-15,Active,,
C00031,SMB,East,Referral,Pro,2025-07-11,Active,,
C00032,Consumer,South,Social,Basic,2025-06-20,Active,,
C00033,Consumer,South,Partner,Pro,2025-09-30,Churned,2026-04-23,Competitor
C00034,Enterprise,South,Paid Search,Basic,2026-01-12,Active,,
C00035,Enterprise,West,Partner,Basic,2025-07-06,Active,,
C00036,SMB,North,Paid Search,Pro,2025-01-23,Active,,
C00037,Consumer,East,Paid Search,Premium,2026-01-26,Active,,
C00038,Consumer,North,Paid Search,Basic,2026-03-04,Active,,
C00039,SMB,East,Referral,Basic,2025-06-30,Churned,2026-02-27,Price
C00040,Consumer,South,Organic,Basic,2025-11-23,Active,,
C00041,Consumer,East,Referral,Basic,2025-04-18,Churned,2026-06-21,Price
C00042,Consumer,West,Referral,Premium,2025-12-01,Active,,
C00043,Consumer,West,Social,Pro,2025-06-11,Active,,
C00044,Enterprise,East,Social,Pro,2025-10-29,Active,,
C00045,Consumer,West,Paid Search,Pro,2026-03-28,Active,,
C00046,SMB,West,Paid Search,Basic,2025-07-25,Active,,
C00047,Consumer,South,Organic,Pro,2025-03-19,Active,,
C00048,Consumer,South,Organic,Pro,2025-01-16,Active,,
C00049,Consumer,East,Organic,Pro,2025-11-23,Churned,2026-02-21,Support Issues
C00050,Consumer,West,Paid Search,Premium,2025-04-06,Active,,
C00051,Enterprise,West,Organic,Pro,2025-05-27,Active,,
C00052,SMB,North,Partner,Basic,2025-01-02,Active,,
C00053,Enterprise,South,Referral,Premium,2025-01-10,Active,,
C00054,Enterprise,South,Paid Search,Basic,2026-03-10,Active,,
C00055,SMB,West,Referral,Basic,2025-05-05,Active,,
C00056,Enterprise,North,Organic,Basic,2025-03-22,Active,,
C00057,Consumer,South,Paid Search,Basic,2026-04-30,Active,,
C00058,Consumer,North,Referral,Pro,2025-05-20,Churned,2026-06-19,Poor Experience
C00059,Consumer,South,Paid Search,Pro,2025-11-22,Active,,
C00060,Consumer,West,Paid Search,Premium,2025-05-30,Active,,
C00061,Consumer,South,Partner,Pro,2025-10-15,Active,,
C00062,Consumer,West,Partner,Pro,2025-12-27,Active,,
C00063,SMB,South,Referral,Basic,2025-12-06,Active,,
C00064,Consumer,North,Referral,Basic,2025-05-09,Active,,
C00065,Consumer,South,Referral,Pro,2026-03-14,Churned,2026-04-08,Low Usage
C00066,Consumer,South,Organic,Pro,2025-08-27,Churned,2026-04-28,Low Usage
C00067,Consumer,North,Paid Search,Premium,2025-02-27,Active,,
C00068,SMB,North,Organic,Basic,2025-07-17,Active,,
C00069,Consumer,West,Paid Search,Basic,2025-07-30,Churned,2026-03-17,Competitor
C00070,Enterprise,South,Referral,Pro,2026-02-06,Active,,
C00071,SMB,West,Organic,Basic,2026-01-25,Active,,
C00072,Consumer,East,Partner,Basic,2025-02-14,Active,,
C00073,Consumer,West,Partner,Pro,2025-04-07,Churned,2026-03-04,Support Issues
C00074,SMB,South,Social,Basic,2025-10-06,Active,,
C00075,SMB,North,Referral,Pro,2025-01-23,Active,,
C00076,SMB,South,Partner,Basic,2026-02-14,Active,,
C00077,SMB,South,Organic,Basic,2026-04-06,Active,,
C00078,Consumer,East,Social,Basic,2026-01-26,Active,,
C00079,Consumer,South,Organic,Premium,2025-12-01,Churned,2026-02-13,Low Usage
C00080,Consumer,North,Social,Basic,2025-02-13,Active,,
C00081,Enterprise,West,Organic,Pro,2025-01-27,Active,,
C00082,SMB,West,Partner,Basic,2025-10-09,Churned,2026-05-27,Price
C00083,Consumer,North,Partner,Pro,2025-04-07,Churned,2026-06-14,Low Usage
C00084,Consumer,South,Organic,Basic,2026-04-08,Active,,
C00085,Consumer,North,Paid Search,Pro,2025-02-05,Active,,
C00086,Consumer,North,Partner,Pro,2025-04-19,Active,,
C00087,SMB,South,Paid Search,Premium,2025-02-24,Active,,
C00088,SMB,North,Partner,Basic,2025-07-11,Churned,2026-06-05,Competitor
C00089,Enterprise,South,Referral,Basic,2025-08-07,Active,,
C00090,Consumer,South,Paid Search,Basic,2025-07-04,Active,,
C00091,Consumer,North,Paid Search,Premium,2025-03-10,Churned,2026-03-18,Price
C00092,SMB,South,Organic,Pro,2025-11-13,Active,,
C00093,SMB,West,Social,Pro,2025-05-10,Active,,
C00094,SMB,West,Paid Search,Basic,2025-02-24,Active,,
C00095,SMB,West,Referral,Basic,2026-01-13,Churned,2026-04-17,Price
C00096,Consumer,South,Paid Search,Basic,2025-04-07,Active,,
C00097,Consumer,South,Referral,Premium,2025-12-02,Churned,2026-02-17,Low Usage
C00098,Consumer,South,Partner,Pro,2025-03-28,Churned,2026-03-16,Competitor
C00099,Consumer,West,Partner,Premium,2025-10-21,Active,,
C00100,Consumer,West,Paid Search,Basic,2025-04-29,Churned,2026-04-19,Competitor
C00101,Consumer,South,Social,Pro,2025-07-27,Active,,
C00102,SMB,East,Social,Pro,2025-11-30,Active,,
C00103,Consumer,South,Referral,Basic,2026-02-17,Active,,
C00104,Consumer,North,Partner,Premium,2025-06-03,Active,,
C00105,Enterprise,West,Organic,Premium,2025-02-04,Active,,
C00106,Consumer,East,Organic,Premium,2025-03-20,Churned,2026-02-08,Competitor
C00107,Consumer,West,Partner,Pro,2025-03-08,Active,,
C00108,SMB,West,Paid Search,Basic,2025-12-09,Churned,2026-03-04,Low Usage
C00109,Consumer,North,Social,Basic,2026-02-17,Active,,
C00110,Consumer,East,Partner,Premium,2025-02-03,Active,,
C00111,Consumer,South,Organic,Basic,2025-04-07,Active,,
C00112,Consumer,East,Partner,Pro,2025-06-18,Churned,2026-06-14,Low Usage
C00113,Enterprise,North,Paid Search,Pro,2025-06-18,Active,,
C00114,SMB,East,Referral,Pro,2025-05-31,Churned,2026-06-15,Support Issues
C00115,SMB,North,Referral,Premium,2025-03-12,Active,,
C00116,Enterprise,West,Partner,Basic,2025-01-03,Active,,
C00117,SMB,North,Organic,Basic,2025-11-10,Active,,
C00118,Consumer,West,Paid Search,Basic,2025-02-01,Churned,2026-06-09,Price
C00119,Enterprise,South,Referral,Pro,2025-10-14,Churned,2026-06-24,Price
C00120,Consumer,South,Social,Basic,2025-03-23,Active,,
C00121,SMB,South,Referral,Basic,2025-02-12,Active,,
C00122,Enterprise,South,Organic,Premium,2026-01-26,Active,,
C00123,Consumer,East,Paid Search,Premium,2025-04-15,Active,,
C00124,Consumer,South,Paid Search,Basic,2025-01-01,Active,,
C00125,Consumer,East,Social,Basic,2025-03-02,Churned,2026-02-21,Low Usage
C00126,Consumer,North,Organic,Premium,2025-09-27,Active,,
C00127,SMB,South,Organic,Basic,2025-06-29,Active,,
C00128,Enterprise,West,Partner,Basic,2025-08-12,Active,,
C00129,Consumer,West,Organic,Basic,2025-01-06,Churned,2026-05-05,Poor Experience
C00130,Consumer,North,Partner,Pro,2025-04-13,Active,,
C00131,Consumer,North,Referral,Basic,2025-01-10,Churned,2026-06-01,Price
C00132,Consumer,West,Social,Premium,2025-03-12,Churned,2026-03-26,Competitor
C00133,Consumer,South,Paid Search,Pro,2025-03-31,Active,,
C00134,Consumer,East,Organic,Pro,2025-08-14,Active,,
C00135,Enterprise,East,Social,Basic,2025-06-07,Active,,
C00136,Consumer,West,Social,Pro,2025-08-16,Active,,
C00137,Consumer,South,Social,Pro,2026-02-09,Active,,
C00138,SMB,West,Organic,Pro,2025-05-06,Churned,2026-06-26,Price
C00139,Consumer,South,Social,Pro,2026-03-20,Active,,
C00140,Enterprise,South,Social,Pro,2025-07-28,Active,,
C00141,Enterprise,South,Referral,Premium,2025-04-07,Active,,
C00142,Consumer,North,Social,Premium,2025-03-15,Active,,
C00143,Consumer,East,Social,Pro,2025-04-25,Active,,
C00144,Consumer,West,Referral,Basic,2025-07-10,Active,,
C00145,Consumer,West,Organic,Basic,2025-06-19,Active,,
C00146,Consumer,North,Paid Search,Basic,2025-11-03,Active,,
C00147,SMB,North,Organic,Pro,2026-03-24,Active,,
C00148,Consumer,North,Paid Search,Basic,2025-07-23,Active,,
C00149,Consumer,East,Paid Search,Basic,2025-02-25,Churned,2026-03-20,Competitor
C00150,Consumer,South,Organic,Premium,2025-07-27,Active,,
C00151,Enterprise,East,Paid Search,Premium,2025-02-10,Active,,
C00152,Consumer,West,Organic,Premium,2025-02-01,Active,,
C00153,Consumer,North,Social,Basic,2025-01-15,Churned,2026-04-14,Poor Experience
C00154,Consumer,West,Partner,Pro,2025-03-03,Churned,2026-05-25,Low Usage
C00155,Enterprise,North,Organic,Basic,2025-06-04,Active,,
C00156,Consumer,East,Partner,Basic,2025-10-11,Active,,
C00157,SMB,East,Referral,Basic,2025-07-28,Churned,2026-05-05,Low Usage
C00158,SMB,North,Paid Search,Basic,2025-11-16,Active,,
