order_id,customer_id,order_date,product_category,gross_amount,discount_pct,net_amount,order_status
O000001,C00001,2026-03-07,Electronics,9137.59,0.1,8223.83,Completed
O000002,C00001,2026-04-18,Home,3753.64,0.1,3378.28,Completed
O000003,C00001,2026-04-05,Home,4278.95,0.0,4278.95,Completed
O000004,C00001,2026-03-05,Grocery,1090.77,0.0,1090.77,Completed
O000005,C00002,2025-04-11,Grocery,1280.08,0.05,1216.08,Completed
O000006,C00002,2025-09-30,Electronics,3025.69,0.0,3025.69,Completed
O000007,C00002,2025-03-13,Electronics,5536.31,0.1,4982.68,Completed
O000008,C00002,2025-06-17,Home,1461.69,0.05,1388.61,Completed
O000009,C00002,2025-11-11,Grocery,701.54,0.0,701.54,Completed
O000010,C00003,2026-03-07,Grocery,1130.57,0.0,1130.57,Completed
O000011,C00003,2026-03-29,Grocery,893.74,0.0,893.74,Completed
O000012,C00003,2026-04-26,Home,2694.88,0.1,2425.39,Completed
O000013,C00003,2026-04-30,Grocery,712.41,0.05,676.79,Completed
O000014,C00003,2026-04-08,Electronics,8548.71,0.1,7693.84,Cancelled
O000015,C00003,2026-06-09,Home,3467.74,0.1,3120.97,Returned
O000016,C00003,2026-06-01,Sports,1311.66,0.0,1311.66,Completed
O000017,C00004,2026-06-09,Beauty,1079.59,0.0,1079.59,Completed
O000018,C00004,2026-05-16,Home,2826.77,0.0,2826.77,Completed
O000019,C00004,2026-06-09,Electronics,1867.6,0.0,1867.6,Completed
O000020,C00004,2026-05-08,Sports,2236.57,0.0,2236.57,Returned
O000021,C00004,2026-05-09,Beauty,1598.06,0.0,1598.06,Completed
O000022,C00004,2026-06-10,Grocery,1125.5,0.15,956.68,Completed
O000023,C00004,2026-05-30,Electronics,7199.34,0.15,6119.44,Completed
O000024,C00005,2026-06-10,Grocery,640.25,0.1,576.22,Completed
O000025,C00005,2025-12-20,Sports,858.49,0.05,815.57,Completed
O000026,C00005,2025-11-27,Grocery,728.0,0.1,655.2,Completed
O000027,C00006,2025-09-21,Grocery,152.93,0.0,152.93,Completed
O000028,C00007,2026-04-18,Grocery,1543.25,0.0,1543.25,Completed
O000029,C00007,2026-03-06,Electronics,4938.71,0.15,4197.9,Completed
O000030,C00007,2026-01-27,Home,1395.98,0.15,1186.58,Completed
O000031,C00007,2026-03-31,Electronics,7237.87,0.0,7237.87,Completed
O000032,C00007,2026-03-16,Electronics,5288.05,0.0,5288.05,Cancelled
O000033,C00008,2026-04-27,Beauty,1638.78,0.1,1474.9,Completed
O000034,C00008,2026-05-16,Beauty,1925.25,0.1,1732.72,Cancelled
O000035,C00008,2026-03-02,Beauty,1338.66,0.0,1338.66,Completed
O000036,C00008,2026-04-20,Home,3629.94,0.15,3085.45,Completed
O000037,C00008,2026-03-29,Electronics,4979.51,0.05,4730.53,Completed
O000038,C00009,2026-04-08,Home,2740.15,0.1,2466.14,Completed
O000039,C00009,2026-03-20,Home,1828.54,0.0,1828.54,Completed
O000040,C00009,2025-12-15,Sports,2908.86,0.1,2617.97,Completed
O000041,C00009,2026-02-09,Beauty,1890.67,0.15,1607.07,Completed
O000042,C00009,2026-06-28,Grocery,983.34,0.05,934.17,Completed
O000043,C00009,2025-12-30,Beauty,1887.93,0.0,1887.93,Completed
O000044,C00009,2026-06-07,Electronics,7704.17,0.15,6548.54,Completed
O000045,C00009,2026-01-01,Electronics,7207.2,0.0,7207.2,Completed
O000046,C00010,2026-02-25,Sports,984.42,0.1,885.98,Completed
O000047,C00010,2026-02-13,Electronics,5373.95,0.0,5373.95,Completed
O000048,C00010,2026-01-30,Grocery,743.26,0.05,706.1,Completed
O000049,C00010,2026-06-08,Beauty,2021.15,0.0,2021.15,Completed
O000050,C00010,2026-01-30,Sports,2422.32,0.05,2301.2,Completed
O000051,C00010,2026-03-18,Sports,3115.22,0.1,2803.7,Completed
O000052,C00010,2026-01-12,Beauty,2306.19,0.0,2306.19,Completed
O000053,C00010,2026-01-11,Home,3633.08,0.2,2906.46,Completed
O000054,C00011,2026-06-29,Beauty,1604.66,0.1,1444.19,Completed
O000055,C00011,2026-06-15,Grocery,1100.88,0.0,1100.88,Completed
O000056,C00011,2026-06-12,Beauty,1620.45,0.0,1620.45,Cancelled
O000057,C00011,2026-05-20,Home,2877.32,0.0,2877.32,Completed
O000058,C00012,2026-04-03,Sports,1844.74,0.1,1660.27,Completed
O000059,C00012,2025-09-01,Electronics,3686.92,0.0,3686.92,Completed
O000060,C00012,2025-09-11,Home,3462.0,0.05,3288.9,Completed
